symbol,company,sector,date,Open,High,Low,Close,Volume,Adj Close
AAPL,Apple Inc.,Technology,2024-10-15 00:00:00-04:00,233.61000061035156,237.49000549316406,232.3699951171875,233.85000610351562,64751400,233.85000610351562
AAPL,Apple Inc.,Technology,2024-10-16 00:00:00-04:00,231.60000610351562,232.1199951171875,229.83999633789062,231.77999877929688,34082200,231.77999877929688
AAPL,Apple Inc.,Technology,2024-10-17 00:00:00-04:00,233.42999267578125,233.85000610351562,230.52000427246094,232.14999389648438,32993800,232.14999389648438
AAPL,Apple Inc.,Technology,2024-10-18 00:00:00-04:00,236.17999267578125,236.17999267578125,234.00999450683594,235.0,46431500,235.0
AAPL,Apple Inc.,Technology,2024-10-21 00:00:00-04:00,234.4499969482422,236.85000610351562,234.4499969482422,236.47999572753906,36254500,236.47999572753906
AAPL,Apple Inc.,Technology,2024-10-22 00:00:00-04:00,233.88999938964844,236.22000122070312,232.60000610351562,235.86000061035156,38846600,235.86000061035156
AAPL,Apple Inc.,Technology,2024-10-23 00:00:00-04:00,234.0800018310547,235.13999938964844,227.75999450683594,230.75999450683594,52287000,230.75999450683594
AAPL,Apple Inc.,Technology,2024-10-24 00:00:00-04:00,229.97999572753906,230.82000732421875,228.41000366210938,230.57000732421875,31109500,230.57000732421875
AAPL,Apple Inc.,Technology,2024-10-25 00:00:00-04:00,229.74000549316406,233.22000122070312,229.57000732421875,231.41000366210938,38802300,231.41000366210938
AAPL,Apple Inc.,Technology,2024-10-28 00:00:00-04:00,233.32000732421875,234.72999572753906,232.5500030517578,233.39999389648438,36087100,233.39999389648438
AAPL,Apple Inc.,Technology,2024-10-29 00:00:00-04:00,233.10000610351562,234.3300018310547,232.32000732421875,233.6699981689453,35417200,233.6699981689453
AAPL,Apple Inc.,Technology,2024-10-30 00:00:00-04:00,232.61000061035156,233.47000122070312,229.5500030517578,230.10000610351562,47070900,230.10000610351562
AAPL,Apple Inc.,Technology,2024-10-31 00:00:00-04:00,229.33999633789062,229.8300018310547,225.3699951171875,225.91000366210938,64370100,225.91000366210938
AAPL,Apple Inc.,Technology,2024-11-01 00:00:00-04:00,220.97000122070312,225.35000610351562,220.27000427246094,222.91000366210938,65276700,222.91000366210938
AAPL,Apple Inc.,Technology,2024-11-04 00:00:00-05:00,220.99000549316406,222.7899932861328,219.7100067138672,222.00999450683594,44944500,222.00999450683594
AAPL,Apple Inc.,Technology,2024-11-05 00:00:00-05:00,221.8000030517578,223.9499969482422,221.13999938964844,223.4499969482422,28111300,223.4499969482422
AAPL,Apple Inc.,Technology,2024-11-06 00:00:00-05:00,222.61000061035156,226.07000732421875,221.19000244140625,222.72000122070312,54561100,222.72000122070312
AAPL,Apple Inc.,Technology,2024-11-07 00:00:00-05:00,224.6300048828125,227.8800048828125,224.57000732421875,227.47999572753906,42137700,227.47999572753906
AAPL,Apple Inc.,Technology,2024-11-08 00:00:00-05:00,227.1699981689453,228.66000366210938,226.41000366210938,226.9600067138672,38328800,226.9600067138672
AAPL,Apple Inc.,Technology,2024-11-11 00:00:00-05:00,225.0,225.6999969482422,221.5,224.22999572753906,42005600,224.22999572753906
AAPL,Apple Inc.,Technology,2024-11-12 00:00:00-05:00,224.5500030517578,225.58999633789062,223.36000061035156,224.22999572753906,40398300,224.22999572753906
AAPL,Apple Inc.,Technology,2024-11-13 00:00:00-05:00,224.00999450683594,226.64999389648438,222.75999450683594,225.1199951171875,48566200,225.1199951171875
AAPL,Apple Inc.,Technology,2024-11-14 00:00:00-05:00,225.02000427246094,228.8699951171875,225.0,228.22000122070312,44923900,228.22000122070312
AAPL,Apple Inc.,Technology,2024-11-15 00:00:00-05:00,226.39999389648438,226.9199981689453,224.27000427246094,225.0,47923700,225.0
AAPL,Apple Inc.,Technology,2024-11-18 00:00:00-05:00,225.25,229.74000549316406,225.1699981689453,228.02000427246094,44633700,228.02000427246094
AAPL,Apple Inc.,Technology,2024-11-19 00:00:00-05:00,226.97999572753906,230.16000366210938,226.66000366210938,228.27999877929688,36211800,228.27999877929688
AAPL,Apple Inc.,Technology,2024-11-20 00:00:00-05:00,228.05999755859375,229.92999267578125,225.88999938964844,229.0,35169600,229.0
AAPL,Apple Inc.,Technology,2024-11-21 00:00:00-05:00,228.8800048828125,230.16000366210938,225.7100067138672,228.52000427246094,42108300,228.52000427246094
AAPL,Apple Inc.,Technology,2024-11-22 00:00:00-05:00,228.05999755859375,230.72000122070312,228.05999755859375,229.8699951171875,38168300,229.8699951171875
AAPL,Apple Inc.,Technology,2024-11-25 00:00:00-05:00,231.4600067138672,233.25,229.74000549316406,232.8699951171875,90152800,232.8699951171875
AAPL,Apple Inc.,Technology,2024-11-26 00:00:00-05:00,233.3300018310547,235.57000732421875,233.3300018310547,235.05999755859375,45986200,235.05999755859375
