date,cash,positions_count,total_value,return,daily_return,cumulative_max,drawdown
2024-11-18 00:00:00-05:00,951619.987487793,1,980004.9877166748,-1.999501228332523,-0.03927011022303306,1000000.0,-1.999501228332523
2024-11-19 00:00:00-05:00,979724.9870300293,0,979724.9870300293,-2.0275012969970696,-0.028571353223194595,1000000.0,-2.0275012969970696
2024-11-20 00:00:00-05:00,851514.9803161621,1,979724.9870300293,-2.0275012969970696,0.0,1000000.0,-2.0275012969970696
2024-11-21 00:00:00-05:00,980539.9742126465,0,980539.9742126465,-1.9460025787353508,0.08318530132498392,1000000.0,-1.9460025787353508
2024-11-22 00:00:00-05:00,896979.9766540527,2,980539.9742126465,-1.9460025787353508,0.0,1000000.0,-1.9460025787353508
2024-11-25 00:00:00-05:00,977982.479095459,0,977982.479095459,-2.201752090454101,-0.26082517637703306,1000000.0,-2.201752090454101
2024-11-26 00:00:00-05:00,338574.990272522,9,977982.479095459,-2.201752090454101,0.0,1000000.0,-2.201752090454101
2024-11-27 00:00:00-05:00,768187.497138977,2,979014.9965286255,-2.0985003471374553,0.1055762710719943,1000000.0,-2.0985003471374553
2024-11-29 00:00:00-05:00,980070.0006484985,0,980070.0006484985,-1.9929999351501415,0.10776179360008076,1000000.0,-1.9929999351501415
2024-12-02 00:00:00-05:00,980070.0006484985,0,980070.0006484985,-1.9929999351501415,0.0,1000000.0,-1.9929999351501415
2024-12-03 00:00:00-05:00,980070.0006484985,0,980070.0006484985,-1.9929999351501415,0.0,1000000.0,-1.9929999351501415
2024-12-04 00:00:00-05:00,980070.0006484985,0,980070.0006484985,-1.9929999351501415,0.0,1000000.0,-1.9929999351501415
2024-12-05 00:00:00-05:00,847107.4991226196,2,980070.0006484985,-1.9929999351501415,0.0,1000000.0,-1.9929999351501415
2024-12-06 00:00:00-05:00,891989.9988174438,1,982487.4963760376,-1.7512503623962394,0.24666561836801382,1000000.0,-1.7512503623962394
2024-12-09 00:00:00-05:00,937052.4988174438,1,979882.5006484985,-2.011749935150142,-0.26514288855051804,1000000.0,-2.011749935150142
2024-12-10 00:00:00-05:00,763199.9979019165,3,979869.9998855591,-2.0130000114440882,-0.001275741012940479,1000000.0,-2.0130000114440882
2024-12-11 00:00:00-05:00,838475.0051498413,4,971022.5038528442,-2.8977496147155724,-0.9029254935601805,1000000.0,-2.8977496147155724
2024-12-12 00:00:00-05:00,726650.0034332275,4,970707.5061798096,-2.929249382019039,-0.03243979122881102,1000000.0,-2.929249382019039
2024-12-13 00:00:00-05:00,946727.5066375732,1,978917.5052642822,-2.108249473571777,0.8457747603892507,1000000.0,-2.108249473571777
2024-12-16 00:00:00-05:00,759602.5066375732,3,978865.0074005127,-2.1134992599487257,-0.005362848604428816,1000000.0,-2.1134992599487257
2024-12-17 00:00:00-05:00,854530.0025939941,2,972870.002746582,-2.7129997253417915,-0.6124444748363267,1000000.0,-2.7129997253417915
2024-12-18 00:00:00-05:00,779672.5006103516,2,967150.0015258789,-3.2849998474121067,-0.5879512375296381,1000000.0,-3.2849998474121067
2024-12-19 00:00:00-05:00,845122.5051879883,1,967435.0051879883,-3.2564994812011694,0.02946840321147448,1000000.0,-3.2564994812011694
2024-12-20 00:00:00-05:00,878562.5076293945,1,970155.0064086914,-2.9844993591308544,0.28115596459883374,1000000.0,-2.9844993591308544
2024-12-23 00:00:00-05:00,626.036743164048,18,968255.0048828125,-3.1744995117187536,-0.19584514982944334,1000000.0,-3.1744995117187536
2024-12-24 00:00:00-05:00,860446.0402526855,2,978000.7307434082,-2.199926925659179,1.006524708000378,1000000.0,-2.199926925659179
2024-12-26 00:00:00-05:00,972986.0411682129,1,978545.021270752,-2.1454978729248064,0.055653386570586605,1000000.0,-2.1454978729248064
2024-12-27 00:00:00-05:00,978468.231048584,0,978468.231048584,-2.1531768951416064,-0.007847387754145174,1000000.0,-2.1531768951416064
2024-12-30 00:00:00-05:00,978468.231048584,0,978468.231048584,-2.1531768951416064,0.0,1000000.0,-2.1531768951416064
2024-12-31 00:00:00-05:00,978468.231048584,0,978468.231048584,-2.1531768951416064,0.0,1000000.0,-2.1531768951416064
2025-01-02 00:00:00-05:00,978468.231048584,0,978468.231048584,-2.1531768951416064,0.0,1000000.0,-2.1531768951416064
2025-01-03 00:00:00-05:00,978468.231048584,0,978468.231048584,-2.1531768951416064,0.0,1000000.0,-2.1531768951416064
2025-01-06 00:00:00-05:00,978468.231048584,0,978468.231048584,-2.1531768951416064,0.0,1000000.0,-2.1531768951416064
2025-01-07 00:00:00-05:00,978468.231048584,0,978468.231048584,-2.1531768951416064,0.0,1000000.0,-2.1531768951416064
2025-01-08 00:00:00-05:00,889035.728302002,1,978468.231048584,-2.1531768951416064,0.0,1000000.0,-2.1531768951416064
2025-01-10 00:00:00-05:00,976483.2304382324,0,976483.2304382324,-2.3516769561767625,-0.20286817163438498,1000000.0,-2.3516769561767625
2025-01-13 00:00:00-05:00,727105.7279968262,2,976483.2304382324,-2.3516769561767625,0.0,1000000.0,-2.3516769561767625
2025-01-14 00:00:00-05:00,942403.2286071777,1,973863.2276916504,-2.6136772308349654,-0.2683100605226141,1000000.0,-2.6136772308349654
2025-01-15 00:00:00-05:00,974270.7289123535,0,974270.7289123535,-2.5729271087646444,0.04184378351250739,1000000.0,-2.5729271087646444
2025-01-16 00:00:00-05:00,910703.2278442383,1,974270.7289123535,-2.5729271087646444,0.0,1000000.0,-2.5729271087646444
2025-01-17 00:00:00-05:00,945095.729675293,1,975493.2287597656,-2.450677124023437,0.1254784538971876,1000000.0,-2.450677124023437
2025-01-21 00:00:00-05:00,805640.7287979126,4,976048.2290649414,-2.3951770935058625,0.056894326768563985,1000000.0,-2.3951770935058625
2025-01-22 00:00:00-05:00,423943.23429107666,6,978685.7269668579,-2.131427303314204,0.27022208773876955,1000000.0,-2.131427303314204
2025-01-23 00:00:00-05:00,648540.7341384888,3,991525.7309341431,-0.847426906585691,1.3119639546679496,1000000.0,-0.847426906585691
2025-01-24 00:00:00-05:00,599353.2341384888,4,985218.2434463501,-1.4781756553649883,-0.636139566630356,1000000.0,-1.4781756553649883
2025-01-27 00:00:00-05:00,812298.2376480103,1,977268.2388687134,-2.273176113128661,-0.8069282750821971,1000000.0,-2.273176113128661
2025-01-28 00:00:00-05:00,226735.733833313,8,980880.7419204712,-1.9119258079528856,0.3696531728013319,1000000.0,-1.9119258079528856
2025-01-29 00:00:00-05:00,458620.73596954346,7,980843.2396316528,-1.9156760368347125,-0.003823328078078614,1000000.0,-1.9156760368347125
2025-01-30 00:00:00-05:00,751410.7426071167,2,987728.2398605347,-1.2271760139465293,0.701947054400609,1000000.0,-1.2271760139465293
2025-01-31 00:00:00-05:00,458258.24436187744,5,987630.7400131226,-1.2369259986877434,-0.009871120767579455,1000000.0,-1.2369259986877434
2025-02-03 00:00:00-05:00,931398.256149292,3,992075.755443573,-0.792424455642704,0.45006855805149737,1000000.0,-0.792424455642704
2025-02-04 00:00:00-05:00,878493.2583236694,2,992095.7554244995,-0.7904244575500541,0.002015973156965778,1000000.0,-0.7904244575500541
2025-02-05 00:00:00-05:00,797563.256111145,4,992255.7552719116,-0.7744244728088434,0.016127460130466176,1000000.0,-0.7744244728088434
2025-02-06 00:00:00-05:00,862305.7526016235,3,988865.7577896118,-1.1134242210388168,-0.3416455348622116,1000000.0,-1.1134242210388168
2025-02-07 00:00:00-05:00,673765.7555007935,3,986733.2542800903,-1.3266745719909712,-0.21565146661446377,1000000.0,-1.3266745719909712
2025-02-10 00:00:00-05:00,985913.2583999634,0,985913.2583999634,-1.4086741600036645,-0.08310208220612125,1000000.0,-1.4086741600036645
2025-02-11 00:00:00-05:00,985913.2583999634,0,985913.2583999634,-1.4086741600036645,0.0,1000000.0,-1.4086741600036645
2025-02-12 00:00:00-05:00,980293.2585144043,1,985913.2583999634,-1.4086741600036645,0.0,1000000.0,-1.4086741600036645
2025-02-13 00:00:00-05:00,980293.2585144043,1,986325.758304596,-1.36742416954041,0.04183937086941203,1000000.0,-1.36742416954041
2025-02-14 00:00:00-05:00,964075.7578277588,2,986193.2586097717,-1.3806741390228305,-0.01343366465983431,1000000.0,-1.3806741390228305
2025-02-18 00:00:00-05:00,970923.2576751709,1,987070.7567596436,-1.2929243240356492,0.08897831557972413,1000000.0,-1.2929243240356492
2025-02-19 00:00:00-05:00,945298.258152008,3,987133.2567596436,-1.2866743240356415,0.006331866238773465,1000000.0,-1.2866743240356415
2025-02-20 00:00:00-05:00,971128.2590293884,1,987295.7585716248,-1.270424142837523,0.01646199344094157,1000000.0,-1.270424142837523
2025-02-21 00:00:00-05:00,987123.2589149475,0,987123.2589149475,-1.2876741085052545,-0.01747193332692909,1000000.0,-1.2876741085052545
2025-02-24 00:00:00-05:00,987123.2589149475,0,987123.2589149475,-1.2876741085052545,0.0,1000000.0,-1.2876741085052545
2025-02-25 00:00:00-05:00,966693.2586097717,1,987123.2589149475,-1.2876741085052545,0.0,1000000.0,-1.2876741085052545
2025-02-26 00:00:00-05:00,773468.2563209534,2,986985.758152008,-1.3014241847991936,-0.013929442113502777,1000000.0,-1.3014241847991936
2025-02-27 00:00:00-05:00,816883.2572364807,2,988175.7529640198,-1.1824247035980173,0.12056858999058839,1000000.0,-1.1824247035980173
2025-02-28 00:00:00-05:00,990495.7602882385,0,990495.7602882385,-0.9504239711761509,0.23477679119932038,1000000.0,-0.9504239711761509
2025-03-03 00:00:00-05:00,441398.2661628723,7,990495.7602882385,-0.9504239711761509,0.0,1000000.0,-0.9504239711761509
2025-03-04 00:00:00-05:00,936230.766620636,1,983100.7655525208,-1.6899234447479206,-0.7465952942156795,1000000.0,-1.6899234447479206
2025-03-05 00:00:00-05:00,954800.7663154602,1,984125.7670783997,-1.5874232921600395,0.10426210229861343,1000000.0,-1.5874232921600395
2025-03-06 00:00:00-05:00,982443.2662391663,0,982443.2662391663,-1.7556733760833776,-0.17096400638185738,1000000.0,-1.7556733760833776
2025-03-07 00:00:00-05:00,982443.2662391663,0,982443.2662391663,-1.7556733760833776,0.0,1000000.0,-1.7556733760833776
2025-03-10 00:00:00-04:00,927303.2668495178,2,982443.2662391663,-1.7556733760833776,0.0,1000000.0,-1.7556733760833776
2025-03-11 00:00:00-04:00,936305.7654762268,2,983813.2661247253,-1.6186733875274695,0.13944824425369262,1000000.0,-1.6186733875274695
2025-03-12 00:00:00-04:00,691328.2674217224,2,983270.7646751404,-1.6729235324859593,-0.05514272558265754,1000000.0,-1.6729235324859593
2025-03-13 00:00:00-04:00,879580.7622337341,1,974040.7613182068,-2.5959238681793173,-0.9387041381203942,1000000.0,-2.5959238681793173
2025-03-14 00:00:00-04:00,972253.2599830627,1,978265.7597923279,-2.1734240207672118,0.4337599248314117,1000000.0,-2.1734240207672118
2025-03-17 00:00:00-04:00,878840.7610321045,1,978675.7601165771,-2.13242398834228,0.0419109347480795,1000000.0,-2.13242398834228
2025-03-18 00:00:00-04:00,976683.2598114014,0,976683.2598114014,-2.331674018859864,-0.20359146372833647,1000000.0,-2.331674018859864
2025-03-19 00:00:00-04:00,976683.2598114014,0,976683.2598114014,-2.331674018859864,0.0,1000000.0,-2.331674018859864
2025-03-20 00:00:00-04:00,933475.7593536377,1,976683.2598114014,-2.331674018859864,0.0,1000000.0,-2.331674018859864
2025-03-21 00:00:00-04:00,978003.2595062256,0,978003.2595062256,-2.1996740493774425,0.1351512562096202,1000000.0,-2.1996740493774425
2025-03-24 00:00:00-04:00,502240.7682800293,7,978003.2595062256,-2.1996740493774425,0.0,1000000.0,-2.1996740493774425
2025-03-25 00:00:00-04:00,980215.7658004761,0,980215.7658004761,-1.978423419952391,0.2262268834735348,1000000.0,-1.978423419952391
2025-03-26 00:00:00-04:00,980215.7658004761,0,980215.7658004761,-1.978423419952391,0.0,1000000.0,-1.978423419952391
2025-03-27 00:00:00-04:00,980215.7658004761,0,980215.7658004761,-1.978423419952391,0.0,1000000.0,-1.978423419952391
2025-03-28 00:00:00-04:00,980215.7658004761,0,980215.7658004761,-1.978423419952391,0.0,1000000.0,-1.978423419952391
2025-03-31 00:00:00-04:00,980215.7658004761,0,980215.7658004761,-1.978423419952391,0.0,1000000.0,-1.978423419952391
2025-04-01 00:00:00-04:00,791520.7622909546,2,980215.7658004761,-1.978423419952391,0.0,1000000.0,-1.978423419952391
2025-04-02 00:00:00-04:00,842818.2629013062,1,979663.2641220093,-2.0336735877990675,-0.05636531238768505,1000000.0,-2.0336735877990675
2025-04-03 00:00:00-04:00,908635.7601547241,1,975455.7598495483,-2.4544240150451646,-0.42948474507020773,1000000.0,-2.4544240150451646
2025-04-04 00:00:00-04:00,794613.2625007629,3,968493.2583236694,-3.1506741676330607,-0.7137690721056189,1000000.0,-3.1506741676330607
2025-04-07 00:00:00-04:00,823410.7612037659,2,968488.2644081116,-3.151173559188847,-0.0005156376169823673,1000000.0,-3.151173559188847
2025-04-08 00:00:00-04:00,408083.2646751404,12,974998.2655906677,-2.500173440933229,0.6721817312401512,1000000.0,-2.500173440933229
2025-04-09 00:00:00-04:00,807240.7773399353,3,1044970.7768821716,4.497077688217166,7.176680591232998,1044970.7768821716,0.0
2025-04-10 00:00:00-04:00,166845.78498840332,18,1044293.2828330994,4.42932828330993,-0.06483377947598123,1044970.7768821716,-0.06483377947598123
2025-04-11 00:00:00-04:00,527183.2946205139,6,1056723.2802772522,5.672328027725215,1.1902784063142713,1056723.2802772522,0.0
2025-04-14 00:00:00-04:00,994980.7971382141,1,1058618.2979011536,5.861829790115358,0.1793295992688071,1058618.2979011536,0.0
2025-04-15 00:00:00-04:00,994980.7971382141,1,1058713.2953071594,5.871329530715941,0.008973716607219018,1058713.2953071594,0.0
2025-04-16 00:00:00-04:00,817033.2950019836,1,1057440.7962226868,5.744079622268683,-0.12019298237899712,1058713.2953071594,-0.12019298237899712
2025-04-17 00:00:00-04:00,1060290.8023262024,0,1060290.8023262024,6.029080232620232,0.2695192122051937,1060290.8023262024,0.0
2025-04-21 00:00:00-04:00,608808.3041572571,2,1060290.8023262024,6.029080232620232,0.0,1060290.8023262024,0.0
2025-04-22 00:00:00-04:00,815693.298664093,1,1075778.2901191711,7.577829011917103,1.4606830276175486,1075778.2901191711,0.0
2025-04-23 00:00:00-04:00,767273.3004951477,2,1078090.7901191711,7.809079011917119,0.2149606495353007,1078090.7901191711,0.0
2025-04-24 00:00:00-04:00,989445.8011054993,2,1090843.300189972,9.0843300189972,1.182879047634855,1090843.300189972,0.0
2025-04-25 00:00:00-04:00,1051320.8011054993,1,1092035.8012580872,9.203580125808708,0.10931919074972374,1092035.8012580872,0.0
2025-04-28 00:00:00-04:00,1030523.3004951477,2,1091930.8017158508,9.193080171585088,-0.009615027466625126,1092035.8012580872,-0.009615027466625126
2025-04-29 00:00:00-04:00,1091893.301334381,0,1091893.301334381,9.189330133438101,-0.0034343184944329863,1092035.8012580872,-0.013049015750388193
2025-04-30 00:00:00-04:00,1039268.3013343811,1,1091893.301334381,9.189330133438101,0.0,1092035.8012580872,-0.013049015750388193
2025-05-01 00:00:00-04:00,1039268.3013343811,1,1091953.3027076721,9.195330270767222,0.005495168183355936,1092035.8012580872,-0.007554564632406002
2025-05-02 00:00:00-04:00,983980.80286026,1,1092800.8025550842,9.280080255508416,0.07761319511654374,1092800.8025550842,0.0
2025-05-05 00:00:00-04:00,983980.80286026,1,1093023.3062171936,9.302330621719367,0.020360861887103177,1093023.3062171936,0.0
2025-05-06 00:00:00-04:00,983980.80286026,1,1092308.3022499084,9.23083022499085,-0.0654152535648711,1093023.3062171936,-0.0654152535648711
2025-05-07 00:00:00-04:00,983980.80286026,1,1092318.304386139,9.231830438613887,0.0009156880168337267,1093023.3062171936,-0.06450016454768726
2025-05-08 00:00:00-04:00,1041818.3062934875,2,1093523.3062171936,9.352330621719362,0.11031599728907882,1093523.3062171936,0.0
2025-05-09 00:00:00-04:00,980628.3038520813,3,1094013.3059883118,9.40133059883117,0.04480926637158156,1094013.3059883118,0.0
